"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Comments,Saves,Follows
17935189202838003,17841417142633319,centerforsuccessnet,"Center for Success Network","Exciting update on our $25K for 2025 campaign: We’re over halfway to our goal! 💪 With 3 weeks left, there’s still time to make a difference. Let’s keep the momentum going—every contribution gets us closer! 🙌 #25Kfor2025 #FoundationforSuccess",0,"12/10/2024 04:26",https://www.instagram.com/p/DDZdUWipbDd/,"IG image",,Lifetime,119,75,5,0,0,0,
18270795859250504,17841417142633319,centerforsuccessnet,"Center for Success Network","TODAY'S THE DAY! 🦈📚 Join us TODAY from 5-6 PM EST for a special Virtual Read Aloud with @melissacristinamarquez, author of Mother of Sharks! 📖✨ Dive into an ocean of adventure as we explore the world of sharks and storytelling! 🌊

This FREE event will take place on Zoom, but registration is required—so don’t miss out! Secure your spot now and be part of the fun! ➡️ Link in our bio!

#MotherOfSharks #MarchBookMadness #VirtualReadAloud #SharkTales #FreeEvent",0,"03/10/2025 07:00",https://www.instagram.com/p/DHBXoWqvvtq/,"IG image",,Lifetime,174,116,6,2,1,0,
18089113465510192,17841417142633319,centerforsuccessnet,"Center for Success Network","@alicialjenkinsbooks will be at March Book Madness Celebration & Literacy Fair! Will you?!

Come enjoy an engaging read-aloud session, meet the author, and celebrate the joy of reading with us! Don’t miss out—register today for FREE at www.center4success.org/march-madness and join the fun! ✨📖 #MarchBookMadness #MeetTheAuthor #LiteracyForAll",0,"03/09/2025 07:00",https://www.instagram.com/p/DG-y1yMsyg7/,"IG image",,Lifetime,142,95,6,3,1,0,
18069277192854130,17841417142633319,centerforsuccessnet,"Center for Success Network","That’s a wrap on Week 2 of March Book Madness, and the competition is heating up! 🔥📚 Our students have already logged 10,456 minutes of reading, and the bracket is getting intense!

Which books will advance to the next round? Who will be crowned the ultimate champion? Stay tuned, keep reading, and don’t forget to cheer on your favorites! 🎉📖

Check out the latest bracket update and keep the momentum going! Visit www.center4success.org/march-madness to follow along. 🚀📚 #MarchBookMadness #KeepReading",0,"03/07/2025 07:52",https://www.instagram.com/p/DG52DCbv06F/,"IG carousel",,Lifetime,100,36,5,0,5,0,
17940270290977398,17841417142633319,centerforsuccessnet,"Center for Success Network","Today is the FINAL DAY to submit your March Book Madness bracket! 📚✨ Think you can predict the winning book? Download the bracket from our website, fill it in, and email it to info@center4success.org for your chance to win an awesome prize! 🎉📖

Don't miss out—get your picks in before it's too late! ⏳🔥 www.center4success.org/march-madness

#MarchBookMadness #FinalDay #SubmitYourBracket #WinBig #BookBracketChallenge 📚🏆",0,"03/06/2025 05:02",https://www.instagram.com/p/DG290bGs8YE/,"IG image",,Lifetime,55,40,4,0,0,0,
18123434365420841,17841417142633319,centerforsuccessnet,"Center for Success Network","We’re thrilled to welcome @quanneloms to our March Book Madness Celebration & Literacy Fair! 🎉 Come enjoy an engaging read-aloud session, meet the author, and celebrate the joy of reading with us! Don’t miss out—register today at www.center4success.org/march-madness and join the fun! ✨📖 #MarchBookMadness #MeetTheAuthor #LiteracyForAll",0,"03/05/2025 07:00",https://www.instagram.com/p/DG0mhXlg1YW/,"IG image",,Lifetime,62,43,5,0,1,0,
18155690953356508,17841417142633319,centerforsuccessnet,"Center for Success Network","Every year our March Book Madness events get better! They've been filled with amazing read alouds, exciting activities, and tons of chances to win awesome prizes—and this year, we’re making it even BIGGER! 🎉✨ Don’t miss out on the 2025 March Book Madness Celebration & Literacy Fair happening on March 20th!

📅 When: March 20th
📍 Where: @reimaginerec 
🎟 FREE event with read-alouds, fun activities, food, and amazing prizes!

Register today and be part of the fun! ➡️ https://forms.gle/uh1aepT3mtUPEu4f9

#MarchBookMadness #BiggerAndBetter #BookLoversUnite #FamilyFun #FreeEvent",0,"03/04/2025 06:55",https://www.instagram.com/p/DGyBJJ5sDLT/,"IG image",,Lifetime,102,76,9,0,1,1,1
18087295975580797,17841417142633319,centerforsuccessnet,"Center for Success Network","Dive into a FIN-tastic adventure with us! Join us on March 10th for a Virtual Read Aloud Event with @melissacristinamarquez, author of Mother of Sharks!! Get ready for an ocean of fun as we explore the world of sharks and storytelling! 🦈📚 

📅 When: Monday, March 10th
⏰ Time: 5-6 PM (EST)
💻 Where: Zoom

Spots are limited, so register now to secure yours! Don’t miss this JAW-some event!

https://forms.gle/uh1aepT3mtUPEu4f9",0,"03/03/2025 06:00",https://www.instagram.com/p/DGvWD-9I2pJ/,"IG image",,Lifetime,163,110,2,1,0,0,
18074405230682020,17841417142633319,centerforsuccessnet,"Center for Success Network","Only a few more days to submit your bracket and get a chance to win some BIG PRIZES! Submit your bracket by March 6th to win!! 🏆📚",0,"03/02/2025 07:00",https://www.instagram.com/p/DGs4JauKyUM/,"IG image",,Lifetime,99,60,1,0,0,0,
17951389178926220,17841417142633319,centerforsuccessnet,"Center for Success Network","March Book Madness is BACK & bigger than ever! 🏀📚 Every year, this celebration of literacy keeps growing, and we’re bringing you even MORE fun in 2025! 🎉 Join us for FREE and enjoy exciting activities, live read-alouds, delicious food, and TONS of amazing prizes! 🎁 Don’t miss out—register now at www.center4success.org/march-madness and be part of the best book bash yet! 📖🔥 #MarchBookMadness #BiggerAndBetter #FreeEvent #WinBig",0,"03/01/2025 06:00",https://www.instagram.com/p/DGqMedsIre_/,"IG image",,Lifetime,84,62,4,0,0,0,
